usdot_number,prefix,docket_number,legal_name,dba_name,city,state
2213312,MC,187497,"A F S ENTERPRISES, INC.",,WHEAT RIDGE,CO
883454,MC,704585,A GONZALEZ TRUCKING LLC,,AURORA,CO
1784988,MC,867345,A GOOD MOVING COMPANY,,AULT,CO
1784988,MC,867346,A GOOD MOVING COMPANY,,FORT COLLINS,CO
3799075,MC,1366687,A GOODWIN EN ROUTE LOGISTICS,A G EN ROUTE LOGISTICS,GREENWOOD VLG,CO
,MC,996087,A GREAT DANE 87 LLC,,LITTLETON,CO
,FF,17175,A GREAT DANE 87 LLC,,LITTLETON,CO
2728072,MC,924371,A GREAT HAULER,,ELIZABETH,CO
3337455,FF,34868,A GREAT WAY TO SHIP,,ARVADA,CO
1677015,MC,616423,A J'S TRUCKING LLC,,LITTLETON,CO
2971733,MC,845455,A KING RIDE LLC,,AURORA,CO
,MC,808346,A L GILBERT,FORT COLLINS FEED,JOHNSTOWN,CO
681369,MC,669743,A L HALVERSON TRUCKING LLC,,LOG LANE VILLAGE,CO
2476611,MC,944965,A L TRUCKING LLC,,BRIGHTON,CO
3496872,MC,1152765,A LA CARTE DELIVERY LLC,,DENVER,CO
3770560,MC,1345777,A M A TRUCKING LLC,,EVANS,CO
3645322,MC,1272838,A M TRANSPORT INC,,AURORA,CO
1134686,MC,580263,A MAN WITH A VAN INC,,DENVER,CO
3935341,MC,1459853,A MEACHELLE BRAZELL COMPANY LLC,A NOBLE STEED DELIVERY AND TRANSPORT,DENVER,CO
3239264,MC,1171442,A MOVERS TOUCH LTD,,WHEAT RIDGE,CO
2296247,MC,784078,A N A TRANSPORTATION INC,,DENVER,CO
1450278,MC,715465,"A N J FARMS, LLC",,ELIZABETH,CO
1242095,MC,593464,A NEW BEGINNINGS MOVING AND STORAGE,,LITTLETON,CO
1242095,MC,502570,A NEW BEGINNINGS MOVING AND STORAGE INC,,LITTLETON,CO
3137856,MC,97198,A O TRANSPORTATION LLC,,DENVER,CO
3564978,MC,1198765,A PERFECT HAUL TRANSPORT LLC,,BENNETT,CO
3545647,MC,1206821,A PLUS DELIVERED,,DENVER,CO
3555564,MC,1192306,A PLUS EXPRESS LLC,,FORT MORGAN,CO
